ID,FriendlyStacks,EnemyStacks,Friendly1Elo,Friendly2Elo,Friendly3Elo,Friendly4Elo,Friendly5Elo,Enemy1Elo,Enemy2Elo,Enemy3Elo,Enemy4Elo,Enemy5Elo,InfernoDiff,MirageDiff,TrainDiff,DustIIDiff,NukeDiff,AncientDiff,OverpassDiff,AnubisDiff
819.0,311.0,2111.0,2239.0,,,3842.0,3814.0,4126.0,3509.0,3838.0,,3765.0,1.0,-1.0,1.0,0.0,-1.0,-2.0,-1.0,
820.0,32.0,11111.0,2768.0,7595.0,2451.0,,5489.0,5395.0,5276.0,5221.0,4966.0,5000.0,0.0,-3.0,0.0,-6.0,9.0,1.0,-2.0,
821.0,2111.0,2111.0,23142.0,14666.0,,18869.0,18549.0,20001.0,20000.0,19392.0,15161.0,21227.0,-3.0,0.0,-1.0,0.0,4.0,-1.0,-2.0,
822.0,11111.0,32.0,19187.0,18500.0,18480.0,17499.0,18041.0,16925.0,19889.0,,,19705.0,3.0,-2.0,-5.0,3.0,3.0,-5.0,4.0,
823.0,2111.0,311.0,17888.0,19999.0,18634.0,18222.0,18137.0,,18801.0,,,,-1.0,12.0,-2.0,4.0,2.0,5.0,-2.0,
824.0,2111.0,221.0,,18788.0,18724.0,17829.0,17679.0,19324.0,19607.0,16581.0,16982.0,18492.0,1.0,9.0,-3.0,-10.0,0.0,5.0,-6.0,
826.0,221.0,5.0,15943.0,22189.0,18574.0,19999.0,15528.0,17897.0,17147.0,22098.0,,17604.0,-8.0,-5.0,0.0,13.0,8.0,-4.0,-4.0,
827.0,311.0,5.0,18631.0,20011.0,15350.0,18722.0,16981.0,22085.0,19395.0,15462.0,18985.0,13724.0,-1.0,-8.0,3.0,-1.0,-1.0,7.0,1.0,
828.0,41.0,311.0,2440.0,5333.0,,,3827.0,4999.0,3245.0,5367.0,3760.0,3857.0,-2.0,-4.0,-2.0,5.0,5.0,-1.0,-3.0,
830.0,41.0,41.0,4998.0,2461.0,1491.0,3857.0,8606.0,3671.0,5977.0,5000.0,4265.0,4791.0,1.0,-9.0,0.0,-5.0,9.0,4.0,0.0,
831.0,41.0,311.0,,17298.0,24140.0,18274.0,20106.0,24889.0,17362.0,23343.0,,20796.0,-5.0,5.0,3.0,-4.0,0.0,-1.0,2.0,
832.0,5.0,221.0,,17962.0,23955.0,17187.0,24267.0,,,21028.0,21154.0,21831.0,-1.0,6.0,2.0,7.0,-1.0,3.0,2.0,
