"","ID","PlayerID","Date","LocalTime","StandardTime","PickBan","WarmUp","Advantage","Map","StartSide","TKills","TAssists","TDeaths","CTKills","CTAssists","CTDeaths","Damage","ADR","HS","Result","Rank","Queue","Rating","AvgFriendly","AvgEnemy","AverageOverall","Comments","KASTPercentage","GamesToday","LossStreak","WinStreak","LeetifyRating","LeetifyPosition","LeetifyAim","LeetifyUtility","gamesTest","SID","eloDiff","MTime","dayDifference","TotalKills","TotalAssists","TotalDeaths","AvgDelta","KDR"
"39",66,1,2023-10-23,1899-12-31 11:21:00,1899-12-31 11:21:00,"First","None","Us","Overpass","T",8,5,6,6,3,6,1621,77,21,"Win",3611,1,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,2,"Prem 66",118,11:21:00,0,14,8,12,NA,1.16666666666667
"40",68,1,2023-10-23,1899-12-31 22:08:00,1899-12-31 22:08:00,"First","None","Us","Vertigo","T",4,2,9,8,1,7,1270,63,8,"Win",3729,1,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,2,"Prem 68",102,22:08:00,0,12,3,16,NA,0.75
"41",69,1,2023-10-25,1899-12-31 11:22:00,1899-12-31 11:22:00,"First","AimLabs","Them","Anubis","CT",4,4,11,10,6,14,2067,69,42,"Tie",3831,1,NA,NA,NA,NA,NA,NA,1,0,0,NA,NA,NA,NA,1,"Prem 69",50,11:22:00,2,14,10,25,NA,0.56
"42",70,1,2023-10-25,1899-12-31 20:58:00,1899-12-31 20:58:00,"First","AimLabs","Us","Nuke","T",13,5,6,7,1,5,2047,107,20,"Win",3881,1,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,2,"Prem 70",117,20:58:00,0,20,6,11,NA,1.81818181818182
"43",71,1,2023-10-25,1899-12-31 21:28:00,1899-12-31 21:28:00,"Second","None","Us","Mirage","CT",8,5,10,10,1,8,2056,70,38,"Loss",3998,1,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,2,"Prem 71",0,21:28:00,0,18,6,18,NA,1
"44",72,1,2023-10-25,1899-12-31 22:59:00,1899-12-31 22:59:00,"Second","None","Neither","Mirage","CT",2,1,6,15,3,10,1627,90,11,"Loss",3998,1,NA,NA,NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,2,"Prem 72",0,22:59:00,0,17,4,16,NA,1.0625
"45",73,1,2023-10-26,1899-12-31 22:16:00,1899-12-31 22:16:00,"Second","None","Us","Nuke","CT",9,4,11,7,2,13,1960,68,18,"Loss",3998,1,NA,NA,NA,NA,NA,NA,1,3,0,NA,NA,NA,NA,1,"Prem 73",0,22:16:00,1,16,6,24,NA,0.666666666666667
"46",74,1,2023-10-26,1899-12-31 23:14:00,1899-12-31 23:14:00,"First","AimLabs","Us","Ancient","T",5,4,6,7,1,5,1429,79,25,"Win",3998,1,NA,NA,NA,NA,NA,NA,2,0,1,NA,NA,NA,NA,2,"Prem 74",102,23:14:00,0,12,5,11,NA,1.09090909090909
"47",75,1,2023-10-26,1899-12-31 16:01:00,1899-12-31 16:01:00,"First","AimLabs","Us","Ancient","T",7,5,8,4,5,9,1670,72,36,"Win",4100,1,NA,NA,NA,NA,NA,NA,3,0,2,NA,NA,NA,NA,2,"Prem 75",103,16:01:00,0,11,10,17,NA,0.647058823529412
"48",76,1,2023-10-28,1899-12-31 15:37:00,1899-12-31 15:37:00,"First","None","Us","Vertigo","T",6,1,7,8,1,7,1346,70,35,"Loss",4203,1,NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,1,"Prem 76",-527,15:37:00,2,14,2,14,NA,1
"49",77,1,2023-10-28,1899-12-31 16:11:00,1899-12-31 16:11:00,"Second","None","Us","Mirage","CT",3,0,5,4,8,8,1163,64,0,"Loss",3676,1,NA,NA,NA,NA,NA,NA,2,2,0,NA,NA,NA,NA,2,"Prem 77",0,16:11:00,0,7,8,13,NA,0.538461538461538
"50",78,1,2023-10-28,1899-12-31 21:45:00,1899-12-31 21:45:00,"First","None","Us","Mirage","T",9,1,10,7,5,7,1767,73,37,"Win",3676,1,NA,NA,NA,NA,NA,NA,3,0,1,NA,NA,NA,NA,2,"Prem 78",112,21:45:00,0,16,6,17,NA,0.941176470588235
"51",79,1,2023-10-28,1899-12-31 22:28:00,1899-12-31 22:28:00,"Second","None","Them","Ancient","CT",4,8,9,7,3,9,1660,76,16,"Loss",3788,1,NA,NA,NA,NA,NA,NA,4,1,0,NA,NA,NA,NA,2,"Prem 79",0,22:28:00,0,11,11,18,NA,0.611111111111111
"52",80,1,2023-10-28,1899-12-31 23:05:00,1899-12-31 23:05:00,"First","None","Us","Anubis","T",10,2,9,12,1,8,1715,71,18,"Loss",3788,1,NA,NA,NA,NA,NA,NA,5,2,0,NA,NA,NA,NA,2,"Prem 80",0,23:05:00,0,22,3,17,NA,1.29411764705882
"53",81,1,2023-10-29,1899-12-31 11:11:00,1899-12-31 11:11:00,"First","None","Us","Ancient","T",10,4,3,7,0,6,1668,87,5,"Win",3788,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,"Prem 81",120,11:11:00,1,17,4,9,NA,1.88888888888889
"54",85,1,2023-10-29,1899-12-31 19:18:00,1899-12-31 19:18:00,"Second","None","Us","Overpass","CT",6,4,12,10,4,11,1657,57,12,"Win",3908,1,NA,NA,NA,NA,NA,NA,5,0,1,NA,NA,NA,NA,2,"Prem 85",114,19:18:00,0,16,8,23,NA,0.695652173913043
"55",86,1,2023-10-29,1899-12-31 20:14:00,1899-12-31 20:14:00,"Second","None","Us","Overpass","CT",12,2,5,14,0,7,2524,105,19,"Win",4022,1,NA,NA,NA,NA,NA,NA,6,0,2,NA,NA,NA,NA,2,"Prem 86",110,20:14:00,0,26,2,12,NA,2.16666666666667
"56",87,1,2023-10-29,1899-12-31 21:13:00,1899-12-31 21:13:00,"Second","AimLabs","Them","Inferno","CT",3,1,6,12,4,7,1873,93,20,"Loss",4132,1,NA,NA,NA,NA,NA,NA,7,1,0,NA,NA,NA,NA,2,"Prem 87",-574,21:13:00,0,15,5,13,NA,1.15384615384615
"57",88,1,2023-10-29,1899-12-31 22:01:00,1899-12-31 22:01:00,"First","AimLabs","Us","Overpass","CT",2,1,4,8,8,7,1493,87,20,"Win",3558,1,NA,NA,NA,NA,NA,NA,8,0,1,NA,NA,NA,NA,2,"Prem 88",104,22:01:00,0,10,9,11,NA,0.909090909090909
"58",89,1,2023-10-29,1899-12-31 22:52:00,1899-12-31 22:52:00,"Second","AimLabs","Them","Mirage","CT",3,1,1,17,4,5,NA,121,15,"Win",3662,1,NA,NA,NA,NA,NA,NA,9,0,2,NA,NA,NA,NA,2,"Prem 89",122,22:52:00,0,20,5,6,NA,3.33333333333333
"59",90,1,2023-10-29,1899-12-31 23:32:00,1899-12-31 23:32:00,"Second","AimLabs","Us","Inferno","CT",11,4,3,11,2,8,2244,102,22,"Win",3784,1,NA,NA,NA,NA,NA,NA,10,0,3,NA,NA,NA,NA,2,"Prem 90",118,23:32:00,0,22,6,11,NA,2
"60",91,1,2023-10-31,1899-12-31 19:35:00,1899-12-31 19:35:00,"Second","None","Us","Vertigo","CT",4,2,7,8,5,8,1776,84,16,"Win",3902,1,NA,NA,NA,NA,NA,NA,1,0,4,NA,NA,NA,NA,1,"Prem 91",116,19:35:00,2,12,7,15,NA,0.8
"61",92,1,2023-10-31,1899-12-31 20:30:00,1899-12-31 20:30:00,"Second","AimLabs","Us","Inferno","CT",6,2,9,10,3,6,1497,62,37,"Win",4018,1,NA,NA,NA,NA,NA,NA,2,0,5,NA,NA,NA,NA,2,"Prem 92",106,20:30:00,0,16,5,15,NA,1.06666666666667
"62",93,1,2023-10-31,1899-12-31 22:44:00,1899-12-31 22:44:00,"Second","AimLabs","Us","Anubis","T",4,6,10,4,0,5,1202,70,12,"Loss",4124,1,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,2,"Prem 93",-249,22:44:00,0,8,6,15,NA,0.533333333333333
"63",94,1,2023-10-31,1899-12-31 23:16:00,1899-12-31 23:16:00,"First","None",NA,"Nuke","T",8,3,9,8,5,10,1753,76,18,"Loss",3875,1,NA,NA,NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,2,"Prem 94",0,23:16:00,0,16,8,19,NA,0.842105263157895
"64",98,1,2023-11-03,1899-12-31 21:34:00,1899-12-31 21:34:00,"First","None","Us","Nuke","CT",3,2,6,10,1,4,1253,69,7,"Win",3875,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,"Prem 98",109,21:34:00,1,13,3,10,NA,1.3
"65",99,1,2023-11-03,1899-12-31 22:20:00,1899-12-31 22:20:00,"Second","AimLabs","Us","Anubis","T",7,3,5,4,2,7,1465,69,18,"Win",3984,1,NA,NA,NA,NA,NA,NA,2,0,2,NA,NA,NA,NA,2,"Prem 99",113,22:20:00,0,11,5,12,NA,0.916666666666667
"66",103,1,2023-11-04,1899-12-31 22:35:00,1899-12-31 22:35:00,"First","None","Us","Ancient","T",13,2,8,11,2,8,2553,106,20,"Loss",3755,1,NA,NA,NA,NA,NA,NA,3,1,0,NA,NA,NA,NA,2,"Prem 103",0,22:35:00,0,24,4,16,NA,1.5
"67",104,1,2023-11-04,1899-12-31 23:20:00,1899-12-31 23:20:00,"First","None","Them","Inferno","T",11,0,9,1,2,7,1233,61,18,"Loss",3755,1,NA,NA,NA,NA,NA,NA,4,2,0,NA,NA,NA,NA,2,"Prem 104",0,23:20:00,0,12,2,16,NA,0.75
"68",108,1,2023-11-05,1899-12-31 15:48:00,1899-12-31 15:48:00,"First","AimLabs","Us","Anubis","T",10,6,7,5,2,5,1548,86,13,"Win",3983,1,NA,NA,NA,NA,NA,NA,4,0,1,NA,NA,NA,NA,2,"Prem 108",107,15:48:00,0,15,8,12,NA,1.25
"69",109,1,2023-11-05,1899-12-31 16:34:00,1899-12-31 16:34:00,"Second","AimLabs","Us","Vertigo","T",8,4,9,9,2,5,1891,90,41,"Win",4090,1,NA,NA,NA,NA,NA,NA,5,0,2,NA,NA,NA,NA,2,"Prem 109",106,16:34:00,0,17,6,14,NA,1.21428571428571
"70",119,1,2023-11-08,1899-12-31 11:06:00,1899-12-31 11:06:00,"Second","AimLabs","Them","Nuke","CT",8,1,2,10,3,8,1669,92,27,"Win",4745,1,NA,NA,NA,NA,NA,NA,1,0,1,NA,NA,NA,NA,1,"Prem 119",254,11:06:00,1,18,4,10,NA,1.8
"71",122,1,2023-11-09,1899-12-31 00:12:00,1899-12-31 00:12:00,"Second","AimLabs","Them","Overpass","CT",7,0,2,11,3,9,1776,88,21,"Win",5000,1,1.53,4665,4420,4642,NA,NA,1,0,1,NA,NA,NA,NA,1,"Prem 122",361,00:12:00,1,18,3,11,245,1.63636363636364
"72",123,1,2023-11-09,1899-12-31 21:55:00,1899-12-31 21:55:00,"First","None","Them","Nuke","T",11,4,12,9,8,11,2564,91,5,"Loss",5361,1,1.23,5108,4978,5171,NA,NA,2,1,0,NA,NA,NA,NA,2,"Prem 123",-105,21:55:00,0,20,12,23,130,0.869565217391304
"73",126,1,2023-11-10,1899-12-31 16:00:00,1899-12-31 16:00:00,"First","AimLabs","Us","Mirage","T",14,1,4,13,1,7,2381,108,22,"Win",5266,1,1.79,4669,4104,4459,NA,NA,1,0,1,NA,NA,NA,NA,1,"Prem 126",105,16:00:00,1,27,2,11,565,2.45454545454545
"74",130,1,2023-11-11,1899-12-31 16:16:00,1899-12-31 16:16:00,"Second","None","Us","Inferno","CT",4,5,9,8,0,11,1880,70,33,"Loss",5630,1,0.78,4684,4802,4859,NA,NA,1,2,0,NA,NA,NA,NA,1,"Prem 130",-168,16:16:00,1,12,5,20,-118,0.6
"75",131,1,2023-11-11,1899-12-31 17:15:00,1899-12-31 17:15:00,"Second","AimLabs","Us","Mirage","CT",3,0,7,7,1,9,927,48,0,"Loss",5462,1,0.58,4988,4991,5029,NA,NA,2,3,0,NA,NA,NA,NA,2,"Prem 131",-209,17:15:00,0,10,1,16,-3,0.625
"76",135,1,2023-11-12,1899-12-31 11:24:00,1899-12-31 11:24:00,"First","None","Them","Mirage","CT",7,3,13,14,3,10,2016,67,14,"Tie",5113,1,0.98,4882,4736,4795,NA,NA,1,0,0,NA,NA,NA,NA,1,"Prem 135",54,11:24:00,1,21,6,23,146,0.91304347826087
"77",136,1,2023-11-12,1899-12-31 19:42:00,1899-12-31 19:42:00,"First","AimLabs","Us","Nuke","T",4,5,9,8,4,9,1393,60,16,"Win",5167,1,0.88,4251,4689,4511,NA,NA,2,0,1,NA,NA,NA,NA,2,"Prem 136",113,19:42:00,0,12,9,18,-438,0.666666666666667
"78",137,1,2023-11-12,1899-12-31 20:32:00,1899-12-31 20:32:00,"Second","None","Us","Nuke","T",9,5,7,8,4,7,2138,97,17,"Win",5280,1,1.24,4836,4388,4870,NA,NA,3,0,2,NA,NA,NA,NA,2,"Prem 137",108,20:32:00,0,17,9,14,448,1.21428571428571
"79",138,1,2023-11-12,1899-12-31 21:13:00,1899-12-31 21:13:00,"Second","None","Us","Anubis","T",5,5,11,5,2,6,1091,60,20,"Loss",5388,1,0.76,4956,5048,5047,NA,NA,4,1,0,NA,NA,NA,NA,2,"Prem 138",-149,21:13:00,0,10,7,17,-92,0.588235294117647
"80",139,1,2023-11-12,1899-12-31 22:02:00,1899-12-31 22:02:00,"Second","AimLabs","Us","Nuke","CT",3,1,0,10,4,5,1437,89,23,"Win",5239,1,1.57,6025,5890,6058,NA,NA,5,0,1,NA,NA,NA,NA,2,"Prem 139",114,22:02:00,0,13,5,5,135,2.6
"81",140,1,2023-11-12,1899-12-31 22:33:00,1899-12-31 22:33:00,"Second","None","Us","Inferno","CT",5,3,3,11,0,7,1481,82,37,"Win",5353,1,1.43,5025,5898,5349,NA,NA,6,0,2,NA,NA,NA,NA,2,"Prem 140",166,22:33:00,0,16,3,10,-873,1.6
"82",141,1,2023-11-12,1899-12-31 23:12:00,1899-12-31 23:12:00,"First","None","Us","Overpass","T",2,0,10,8,5,8,1468,69,0,"Loss",5519,1,0.72,5348,5646,5523,NA,NA,7,1,0,NA,NA,NA,NA,2,"Prem 141",-103,23:12:00,0,10,5,18,-298,0.555555555555556
